OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
d016c583e11159a52458a1f718e92cf4,Bacteria,Firmicutes,Clostridia,Clostridiales,FamilyXI,Unassigned,Unassigned
3ebe761bfb1238c87195d431f41bf976,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unassigned
04524511556ae43c41266c364d115459,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Wohlfahrtiimonadaceae,Ignatzschineria,Unassigned
58dec6e602ee667b350b016934d6917f,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,uncultured,unculturedbacterium
1fcabb90d2923c0d22cc5983fe72bf30,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonaceae,Crenothrix,Unassigned
db0e491aed46a5498155386afcd455b3,Bacteria,Firmicutes,Clostridia,Clostridiales,FamilyXI,Tissierella,Unassigned
1c9dfa6fb2d7b2a88cb53f3221a2ed4c,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Unassigned,Unassigned
6daad27bde3081aeff28b59c34b9d2cb,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Longilinea,Unassigned
82d87dd4ff14530b31619daf3b6b84fd,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,Unassigned,Unassigned,Unassigned
e73fd3a8e69bacb87efec068596af9a0,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Unassigned,Unassigned
c597311b916e815aa5e596ee661a2616,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Planoglabratellaopercularis,Planoglabratellaopercularis,Planoglabratellaopercularis
88e4787193b9e0477dfe438442fdce14,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonaceae,Crenothrix,unculturedbacterium
49b4394d46e28f4f718c47611025d785,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ideonella,Unassigned
1ed781b315c97b372a3df2a9c30feb69,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonaceae,Methylomonas,Unassigned
7a49284289105a60f3cec292e1597d51,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,unculturedbacterium,unculturedbacterium,unculturedbacterium
9529cb985c69aee79ce4c4ef6e19bf04,Bacteria,Spirochaetes,Leptospirae,Leptospirales,Leptospiraceae,RBG-16-49-21,unculturedspirochete
33a55d458eb9be0184c0d14c61724ebe,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,uncultured,unculturedbacterium
6c3fb343f46983254cdb83e99fa07a49,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unassigned,Unassigned
1164243af2275fb324086b9f837f6452,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unassigned
72767c3837c14ece49f60644813bc728,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Unassigned
2abb8994c87fb93f988532733e6b549c,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas,Unassigned
3a4003f20346ef922e7d7338896fda5a,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Ferribacterium,unculturedbacterium
12bee9ed62aeb264b49cee3c5741ef56,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,BacteroidetesvadinHA17,unculturedbacterium,unculturedbacterium
20a32fef04896eddb32a42e9db3e62ba,Bacteria,Firmicutes,Clostridia,Clostridiales,FamilyXI,Tissierella,Unassigned
c130baecd35f08a8f79bdfbdc0abb6c0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Unassigned
9af3467db68cf6063627304cecd46a65,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unassigned
cea3d105e3420229053cdcbec21ef052,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,Phaeospirillum,Phaeospirillumtilakii
f4e78e2e397dc8bd3ca2f87c245a8773,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Unassigned
eab04894b999f9424d51b1b0bb121c38,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,uncultured,unculturedTreponemasp.
fb71f8bb0acbb2751e2db9c0282c55f7,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Unassigned
4fb91a915ed494b22b2a493ab11a6f4f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,[Eubacterium]coprostanoligenesgroup,Unassigned
48eadeffe14c600879679eb52aaa45e9,Bacteria,Firmicutes,Clostridia,Clostridiales,FamilyXI,Unassigned,Unassigned
fbb0bc60022a823db18407d579f34e42,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Sporomusa,Unassigned
7004564a72389bdccaffeb43eb426a8f,Bacteria,Spirochaetes,Leptospirae,Leptospirales,Leptospiraceae,RBG-16-49-21,microbialmatmetagenome
40430cb3f1549292579a0136c2e9649b,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,unculturedbacterium
193b5612a09990aaf3e700cb9786953b,Bacteria,Firmicutes,Clostridia,Clostridiales,FamilyXI,Anaerosalibacter,Unassigned
